"","year","KTN_INDEX0","KTN_INDEX1","KTN_INDEX2","KTN_INDEX3"
"1",1987,4748,5008,4872,4833
"2",1988,5007,5007,5007,5007
"3",1989,6940,7035,7008,7005
"4",1990,3420,3624,3587,3533
"5",1991,5721,5721,5721,5721
"6",1992,7017,7017,7017,7017
"7",1993,7270,7270,7270,7270
"8",1994,8690,8690,8690,8690
"9",1995,8626,8626,8626,8626
"10",1996,8831,8831,8831,8831
"11",1997,4970,4999,4999,5037
"12",1998,7069,7058,7058,7135
"13",1999,8038,8038,8038,8038
"14",2000,8634,8634,8634,8634
"15",2001,11405,11469,11469,11866
"16",2002,12223,12223,12223,12223
"17",2003,11823,11805,11805,11890
"18",2004,11284,11284,11284,11284
"19",2005,14840,14840,14840,14840
"20",2006,6856,6907,6907,6898
"21",2007,4703,4623,4623,4832
"22",2008,16691,16986,16986,16658
"23",2009,8793,9272,9272,8670
"24",2010,4603,4568,4568,4596
"25",2011,5117,5014,5014,5097
"26",2012,11926,11919,11919,11940
"27",2013,11096,10487,10487,11287
"28",2014,16645,16457,16457,16795
"29",2015,10025,10011,10011,10039
"30",2016,13431,13417,13417,13419
"31",2017,11549,11469,11469,11563
"32",2018,13868,13520,13520,13886
"33",2019,7916,7968,7968,7913
