year,Herman Creek,Grant Creek,Eulachon River,Klahini River,Indian Creek,Barrier Creek,King Creek,Choca Creek,Carroll Creek,Blossom River,Keta River,Marten River,Humpback Creek,Tombstone River
1987,92,90.46708954458217,154,65.4926395572822,350.24182787924076,113.6720890106661,227.26791431804344,137.81526454281683,180,700,800,740,650,532
1988,72,150,205,20,300,50,175,150,193,790,850,600,52,1400
1989,75,101,290,15,925,450,510,200,314.2022184917263,1000,650,1175,350,950
1990,150,30,235,150,256.0644926833566,83.10653807691254,35,100.75779929787946,158.48305569510634,800,550,575,135,275
1991,245,50,285,50,550,100,300,220,375,725,800,575,671,775
1992,115,270,860,90,675,100,250,150,360,650,627,1285,550,1035
1993,90,175,460,50,475,325,110,300,310,850,725,1525,600,1275
1994,265,220,755,200,560,175,325,225,475,775,1100,2205,560,850
1995,250,94,435,165,600,220,415,180,400,800,1155,1385,82,2446
1996,94,92,383,40,570,230,457,220,240,829,1506,1924,440,1806
1997,75,94.27870235947111,420,60,364.9984233016762,118.46138855981026,236.84330022897012,175,140,1143,571,759,32,847
1998,94,130,460,120,304,50,411,190,320.0251261427462,1004,1169,1961,256,666
1999,75,127,657,150,356,25,627,225,425,598,1895,1518,520,840
2000,135,94,600,110,380,72,620,180,275,1354,1619,1421,102,1672
2001,80,110,929,151,1140,15,891,450,173,1561,1691.1603405539154,1956,506,1854.2800366678412
2002,88,138,1105,20,940,70,700,220,270,1359,1368,2302,2004,1639
2003,242,196.2703530604528,875,39,690,57,1140,380,460.1577788702283,1940,1934,1980,214,1745
2004,150,230,801,170,935,250,640,180,455,1005,1200,3215,1230,823
2005,510,300,1240,360,890,190,810,270,500,3680,3290,1130,500,1170
2006,165,118.19470548675442,190,176,280,30,405,130,264.48181845541654,2300,645,335,260,1600
2007,134,75,334.17572558822195,35,245,15,290,210,185.32621247192242,990,970,351,286.284769235734,713.2151107409505
2008,115,55,570,25,1250,23,420,100,638.6953233356411,7100,2477.8711405495983,925,2600,360
2009,130.38202383427875,330,330,340,750,110,1050,100,1100,150,315,1675,700,225
2010,85,102,370,62.11589353130786,880,90,570,190,196.0869648660352,350,550,350,200,608.8280957252886
2011,91.24806662647674,87.25875934052372,350,68.92308526171799,175,76.65042314885366,110,85,217.5758542596092,1235,736.3752239817279,350,850,675.548693994935
2012,25,60,400,161.19639779644893,170,40,691.6830088461295,110,330,2400,3300,2650,360,1250
2013,191.93535371042182,185.4458530382977,721.5128797163416,152.47463962244694,790.9669700510491,162.23111068937658,654.2585253050034,267.59722869065405,215,2140,1560,2370,550,1340
2014,425,80,660,185.91597179489222,1500,197.8122701182623,850,400,220,2000,1300,30,931.3663578376874,5000
2015,20,200,550,135.3113729932946,1200,143.96960952957727,550,200,450,2310,1470,1555,210,1035
2016,160,25,810,450,370,90,540,319.82461731097766,750,3070,2470,2120,280,1970
2017,40,176.33734686372128,540,280,850,20,100,240,285,3100,2450,1675,830,980
2018,75,55,280,70,610,186.62689311307201,595,110,160,3100,3300,1750,884.979828430718,2700
2019,240,60,220,114.33909841562182,420,20,800,700,60,2200,570,1410,600,500
2020,280,80,2200,100,950,30,850,60,20,1800,1400,200,200,440
2021,660,301.8717501619824,980,301.9073228976985,400,320,610,210,900,9000,3600,1230,1000,1500
2022,210.80067050450637,20,1500,172.1703483495935,350,150,220,150,441.7053258857557,4400,2200,450,120,1598.9669416339198
2023,210,140,2150,20,620,295.1625375743811,2600,720,70,6000,7300,750,150,1650
2024,140,120,1300,300,1400,20,670,120,20,10000,17000,1900,800,2500
